jvm_short,jvm_descr,jvm_vendor,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,10506,0,525.29,1.904,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,8659,0,432.93,2.310,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,8976,0,448.79,2.228,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,9693,0,484.64,2.063,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,8855,0,442.56,2.260,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,9641,0,482.04,2.075,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,9382,0,469.09,2.132,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,9429,0,471.43,2.121,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,9175,0,458.59,2.181,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,38602,0,1930.07,0.518,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,67614,0,3380.66,0.296,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,36316,0,1815.79,0.551,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,39228,0,1961.05,0.510,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,75392,0,3769.59,0.265,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,32284,0,1601.61,0.624,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,39980,0,1998.99,0.500,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,77076,0,3853.19,0.260,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,32389,0,1609.75,0.621,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,103454,0,5172.24,0.193,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,122824,0,6141.20,0.163,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,128988,0,6446.69,0.155,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,102720,0,5135.45,0.195,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,124141,0,6207.03,0.161,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,124623,0,6230.39,0.161,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,100247,0,5012.35,0.200,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,120272,0,6013.60,0.166,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,130360,0,6518.00,0.153,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,31340,0,1566.99,0.638,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,34326,0,1716.30,0.583,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,34229,0,1711.27,0.584,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,30555,0,1527.74,0.655,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,34371,0,1718.54,0.582,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,34229,0,1711.44,0.584,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,31386,0,1569.30,0.637,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,33866,0,1693.29,0.591,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,33862,0,1693.09,0.591,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,49866,0,2493.28,0.401,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,34287,0,1714.13,0.583,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,38833,0,1941.65,0.515,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,50676,0,2533.79,0.395,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,31632,0,1581.53,0.632,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,35982,0,1799.00,0.556,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,53105,0,2655.25,0.377,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,32803,0,1640.13,0.610,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,36376,0,1818.67,0.550,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,41352,0,2067.59,0.484,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,46229,0,2311.36,0.433,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,44134,0,2204.64,0.454,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,39875,0,1993.71,0.502,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,46409,0,2318.99,0.431,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,43213,0,2160.64,0.463,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,38899,0,1944.91,0.514,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,45631,0,2281.51,0.438,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,45655,0,2282.72,0.438,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,69689,0,3484.41,0.287,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,75987,0,3798.71,0.263,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,77927,0,3896.35,0.257,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,68647,0,3432.33,0.291,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,72822,0,3637.69,0.275,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,79749,0,3987.45,0.251,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,70112,0,3505.58,0.285,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,74083,0,3704.15,0.270,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,71605,0,3580.24,0.279,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,189015,0,9450.74,0.106,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,180092,0,9004.44,0.111,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,173625,0,8681.24,0.115,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,183087,0,9154.34,0.109,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,161330,0,8065.53,0.124,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,164218,0,8210.82,0.122,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,177369,0,8868.45,0.113,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,164585,0,8228.74,0.122,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,169192,0,8459.60,0.118,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,135939,0,6795.99,0.147,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,187889,0,9394.43,0.106,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,202399,0,10119.95,0.099,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,138857,0,6942.85,0.144,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,188570,0,9427.70,0.106,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,197168,0,9858.39,0.101,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,135855,0,6792.74,0.147,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,183158,0,9157.89,0.109,8,4,20
