jvm_short,jvm_descr,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,2771,0,277.09,3.609,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,2511,0,251.05,3.983,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,2863,0,286.23,3.494,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx512m -Xms512m,2658,0,265.75,3.763,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,5837,0,583.65,1.713,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,14414,0,1441.40,0.694,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,6156,0,615.19,1.626,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx512m -Xms512m,15262,0,1525.61,0.655,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,18982,0,1898.20,0.527,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,24407,0,2440.69,0.410,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,23314,0,2331.38,0.429,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx512m -Xms512m,31500,0,3146.43,0.318,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,9896,0,989.54,1.011,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,10879,0,1087.88,0.919,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,9451,0,945.08,1.058,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx512m -Xms512m,10465,0,1046.48,0.956,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,7851,0,785.09,1.274,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,6871,0,687.09,1.455,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,9278,0,927.80,1.078,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx512m -Xms512m,6365,0,636.46,1.571,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,11132,0,1113.16,0.898,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,10302,0,1029.59,0.971,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,8112,0,811.00,1.233,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx512m -Xms512m,10735,0,1073.49,0.932,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,12872,0,1287.20,0.777,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,12599,0,1259.56,0.794,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,13025,0,1302.49,0.768,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx512m -Xms512m,14663,0,1466.30,0.682,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,90033,0,9003.26,0.111,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,69985,0,6998.49,0.143,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,79665,0,7966.46,0.126,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx512m -Xms512m,66786,0,6678.58,0.150,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,44952,0,4495.18,0.222,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,62165,0,6216.48,0.161,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,44643,0,4464.28,0.224,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx512m -Xms512m,58601,0,5860.09,0.171,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,2858,0,285.59,3.502,1,1,10
